date,code,time,area,air_temp,soil_temp,lab_temp,chamber_top_volume,chamber_base_volume
2019_09_13,NEHC,30,2694,300.9,301.3,294.9,12.5,2.17421875
2019_09_13,NEHC,45,2487,300.9,301.3,294.9,12.5,2.17421875
2019_09_13,NELA,AS,2746,300.9,302.2,294.9,4.4,2.26875
2019_09_13,NELA,0,2932,300.9,302.2,294.9,4.4,2.26875
2019_09_13,NELA,15,2903,300.9,302.2,294.9,4.4,2.26875
2019_09_13,NELA,30,2753,300.9,302.2,294.9,4.4,2.26875
2019_09_13,NELA,45,2701,300.9,302.2,294.9,4.4,2.26875
2019_09_13,NELB,AS,2687,300.9,299.6,294.9,12.5,1.890625
2019_09_13,NELB,0,2766,300.9,299.6,294.9,12.5,1.890625
2019_09_13,NELB,15,2710,300.9,299.6,294.9,12.5,1.890625
2019_09_13,NELB,30,2672,300.9,299.6,294.9,12.5,1.890625
2019_09_13,NELB,45,2706,300.9,299.6,294.9,12.5,1.890625
2019_09_13,NELC,AS,2677,300.9,298.6,294.9,12.5,1.60703125
2019_09_13,NELC,0,2740,300.9,298.6,294.9,12.5,1.60703125
2019_09_13,NELC,15,2745,300.9,298.6,294.9,12.5,1.60703125
2019_09_13,NELC,30,2668,300.9,298.6,294.9,12.5,1.60703125
2019_09_13,NELC,45,2654,300.9,298.6,294.9,12.5,1.60703125
2019_09_13,CNHA,AS,,NA,NA,NA,NA,NA
2019_09_13,CNHA,0,,NA,NA,NA,NA,NA
2019_09_13,CNHA,15,,NA,NA,NA,NA,NA
2019_09_13,CNHA,30,,NA,NA,NA,NA,NA
2019_09_13,CNHA,45,,NA,NA,NA,NA,NA
2019_09_13,CNHB,AS,3591,304.6,292.2,294.9,12.5,0.9453125
2019_09_13,CNHB,0,3462,304.6,292.2,294.9,12.5,0.9453125
2019_09_13,CNHB,15,3415,304.6,292.2,294.9,12.5,0.9453125
2019_09_13,CNHB,30,3140,304.6,292.2,294.9,12.5,0.9453125
2019_09_13,CNHB,45,3125,304.6,292.2,294.9,12.5,0.9453125
2019_09_13,CNHC,AS,3048,304.6,293,294.9,12.5,1.03984375
2019_09_13,CNHC,0,3849,304.6,293,294.9,12.5,1.03984375
2019_09_13,CNHC,15,3685,304.6,293,294.9,12.5,1.03984375
2019_09_13,CNHC,30,3556,304.6,293,294.9,12.5,1.03984375
2019_09_13,CNHC,45,3535,304.6,293,294.9,12.5,1.03984375
2019_09_13,CNLA,AS,4251,304.6,297.1,294.9,12.5,3.403125
2019_09_13,CNLA,0,4397,304.6,297.1,294.9,12.5,3.403125
2019_09_13,CNLA,15,3830,304.6,297.1,294.9,12.5,3.403125
2019_09_13,CNLA,30,3543,304.6,297.1,294.9,12.5,3.403125
2019_09_13,CNLA,45,3160,304.6,297.1,294.9,12.5,3.403125
2019_09_13,CNLB,AS,3213,304.6,296.3,294.9,12.5,1.41796875
2019_09_13,CNLB,0,3187,304.6,296.3,294.9,12.5,1.41796875
2019_09_13,CNLB,15,3308,304.6,296.3,294.9,12.5,1.41796875
2019_09_13,CNLB,30,3256,304.6,296.3,294.9,12.5,1.41796875
2019_09_13,CNLB,45,3168,304.6,296.3,294.9,12.5,1.41796875
2019_09_13,CNLC,AS,3313,304.6,295.8,294.9,12.5,1.41796875
2019_09_13,CNLC,0,3421,304.6,295.8,294.9,12.5,1.41796875
2019_09_13,CNLC,15,3115,304.6,295.8,294.9,12.5,1.41796875
2019_09_13,CNLC,30,3134,304.6,295.8,294.9,12.5,1.41796875
2019_09_13,CNLC,45,3079,304.6,295.8,294.9,12.5,1.41796875
2019_09_13,CSHA,AS,2969,299.6,294.7,294.9,12.5,1.22890625
2019_09_13,CSHA,0,2917,299.6,294.7,294.9,12.5,1.22890625
2019_09_13,CSHA,15,2826,299.6,294.7,294.9,12.5,1.22890625
2019_09_13,CSHA,30,2934,299.6,294.7,294.9,12.5,1.22890625
2019_09_13,CSHA,45,2928,299.6,294.7,294.9,12.5,1.22890625
2019_09_13,CSHB,AS,2907,299.6,296.4,294.9,4.4,1.41796875
2019_09_13,CSHB,0,2876,299.6,296.4,294.9,4.4,1.41796875
