date,code,time,area,air_temp,soil_temp,lab_temp,chamber_top_volume,chamber_base_volume
2019_09_13,NEHB,AS,17.041,300.9,299.8,294.9,12.5,1.5125
2019_09_13,NEHB,0,16.937,300.9,299.8,294.9,12.5,1.5125
2019_09_13,NEHB,15,20.991,300.9,299.8,294.9,12.5,1.5125
2019_09_13,NEHB,30,22.235,300.9,299.8,294.9,12.5,1.5125
2019_09_13,NEHB,45,23.097,300.9,299.8,294.9,12.5,1.5125
2019_09_13,NEHC,AS,16.468,300.9,301.3,294.9,12.5,2.17421875
2019_09_13,NEHC,0,17.864,300.9,301.3,294.9,12.5,2.17421875
2019_09_13,NEHC,15,18.912,300.9,301.3,294.9,12.5,2.17421875
2019_09_13,NEHC,30,19.419,300.9,301.3,294.9,12.5,2.17421875
2019_09_13,NEHC,45,20.171,300.9,301.3,294.9,12.5,2.17421875
2019_09_13,NELA,AS,16.644,300.9,302.2,294.9,4.4,2.26875
2019_09_13,NELA,0,19.227,300.9,302.2,294.9,4.4,2.26875
2019_09_13,NELA,15,20.908,300.9,302.2,294.9,4.4,2.26875
2019_09_13,NELA,30,21.785,300.9,302.2,294.9,4.4,2.26875
2019_09_13,NELA,45,22.452,300.9,302.2,294.9,4.4,2.26875
2019_09_13,NELB,AS,16.298,300.9,299.6,294.9,12.5,1.890625
2019_09_13,NELB,0,16.559,300.9,299.6,294.9,12.5,1.890625
2019_09_13,NELB,15,16.438,300.9,299.6,294.9,12.5,1.890625
2019_09_13,NELB,30,16.176,300.9,299.6,294.9,12.5,1.890625
2019_09_13,NELB,45,15.968,300.9,299.6,294.9,12.5,1.890625
2019_09_13,NELC,AS,16.317,300.9,298.6,294.9,12.5,1.60703125
2019_09_13,NELC,0,16.596,300.9,298.6,294.9,12.5,1.60703125
2019_09_13,NELC,15,16.544,300.9,298.6,294.9,12.5,1.60703125
2019_09_13,NELC,30,16.109,300.9,298.6,294.9,12.5,1.60703125
2019_09_13,NELC,45,15.793,300.9,298.6,294.9,12.5,1.60703125
2019_09_13,CNHA,AS,NA,NA,NA,NA,NA,NA
2019_09_13,CNHA,0,NA,NA,NA,NA,NA,NA
2019_09_13,CNHA,15,NA,NA,NA,NA,NA,NA
2019_09_13,CNHA,30,NA,NA,NA,NA,NA,NA
2019_09_13,CNHA,45,NA,NA,NA,NA,NA,NA
